# Format: name,enabled,days,start_hour,start_min,end_hour,end_min,image,progressbar,nightmode
# enabled: 1=true, 0=false
# days: 0-6 for Mon-Sun (e.g., "01234" = Mon-Fri)
# progressbar: 1=true, 0=false
# nightmode: 0=normal weather, 1=time+temp only, 2=clock only
Night Mode AM,1,4,0,0,1,30,night_mode.bmp,0,1
Deep Night AM,1,4,1,30,5,30,night_mode.bmp,0,2
Night Mode end AM,1,4,5,30,6,30,night_mode.bmp,0,1
Get Dressed,1,4,7,0,7,15,get_dressed.bmp,1,0
Eat Breakfast,1,4,7,15,7,40,breakfast.bmp,1,0
Toilet and Teeth AM,1,4,7,40,7,50,toilet_and_teeth.bmp,1,0
Quiet Time SAT,1,4,12,30,13,30,quiet_time.bmp,1,0
Eat Dinner,1,4,18,30,19,0,dinner.bmp,1,0
Bath Time,1,4,19,0,19,30,bath_time.bmp,1,0
Pajamas On,1,4,19,30,19,40,get_dressed_night.bmp,1,0
Toilet and Teeth PM,1,4,19,40,19,50,toilet_and_teeth.bmp,1,0
Story and Sleep,1,4,19,50,20,5,story_and_bed.bmp,1,0
Sleep,1,4,20,5,20,35,bed.bmp,0,0
Night Mode,1,4,22,30,0,0,night_mode.bmp,0,1
